host_name,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value
Bp Stays.,100,59.0,Manhattan,40.80954,-73.95236,Private room,2,2.0,2 shared baths,1.0,56.0,36,4.75,4.89,4.83,4.92,4.33,4.72
Yamid,100,1.0,Queens,40.74815,-73.8773,Private room,2,1.0,1 shared bath,1.0,55.0,167,4.91,4.92,4.93,4.85,4.74,4.91
Charly,39,1.0,Brooklyn,40.70511,-73.98592,Entire home/apt,2,1.0,1 bath,1.0,210.0,16,4.63,4.5,4.13,4.81,5.0,4.44
Priscila,99,7.0,Queens,40.76137223202663,-73.80526050925255,Private room,2,1.0,1 private bath,1.0,50.0,27,4.85,4.78,4.63,4.85,4.78,4.78
Ruben,100,4.0,Bronx,40.85363,-73.85516,Entire home/apt,4,1.0,1 bath,1.0,98.0,5,5.0,5.0,5.0,5.0,5.0,4.8
Liz,0,1.0,Brooklyn,40.68594,-73.95304,Entire home/apt,2,1.0,1 bath,1.0,160.0,17,4.94,5.0,4.88,4.94,4.88,4.88
Raymond,93,7.0,Manhattan,40.80454,-73.9462,Entire home/apt,4,1.0,1 bath,1.0,129.0,418,4.66,4.74,4.68,4.82,4.73,4.69
Ishmael,100,6.0,Queens,40.6875497,-73.7784866,Private room,2,1.0,1 private bath,1.0,120.0,17,4.88,4.82,4.94,5.0,4.47,4.76
Julie,93,2.0,Brooklyn,40.68319,-73.96253,Private room,1,1.0,1 shared bath,1.0,75.0,100,4.81,4.91,4.85,4.95,4.86,4.8
Nick,99,7.0,Brooklyn,40.69829101982256,-73.92880101913443,Private room,2,1.0,1 private bath,1.0,85.0,42,4.83,4.76,4.79,4.95,4.81,4.67
Dorit,100,44.0,Brooklyn,40.62323990722146,-74.02686372548806,Entire home/apt,2,1.0,1 bath,1.0,150.0,8,5.0,4.8,4.6,4.8,4.8,4.8
Louis,92,10.0,Brooklyn,40.69501,-73.94388,Shared room,2,1.0,1 shared bath,1.0,50.0,5,4.4,4.4,5.0,4.2,4.6,4.6
Jane,0,3.0,Manhattan,40.82402,-73.95263,Private room,1,1.0,1 shared bath,1.0,65.0,34,4.76,4.88,4.64,4.88,4.7,4.85
SoCo Property,100,42.0,Brooklyn,40.6892,-73.98101,Entire home/apt,2,1.0,1 bath,0.0,141.0,13,4.85,5.0,5.0,4.77,5.0,4.77
Carlina,0,5.0,Manhattan,40.8261,-73.95131,Private room,2,1.0,1 shared bath,1.0,80.0,190,4.55,4.7,4.64,4.77,4.61,4.64
Cielo,96,2.0,Queens,40.76270732506374,-73.89023972537035,Private room,2,1.0,1 shared bath,1.0,106.0,12,4.25,4.58,4.08,4.58,4.33,4.5
Nadine,67,3.0,Manhattan,40.74934110704476,-73.97891741261175,Entire home/apt,1,1.0,1 bath,1.0,390.0,0,4.0,4.0,3.0,5.0,5.0,3.0
Karen,100,17.0,Queens,40.76796,-73.92547,Private room,2,1.0,1 shared bath,1.0,60.0,99,4.63,4.64,4.48,4.7,4.78,4.67
Carlos,93,5.0,Queens,40.74566,-73.88326,Private room,2,1.0,1 shared bath,1.0,110.0,177,4.96,4.98,4.97,4.97,4.86,4.97
Jillian,19,1.0,Manhattan,40.73095404834139,-74.00665833418505,Entire home/apt,2,1.0,1 bath,1.0,250.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Sol And Coach,100,4.0,Brooklyn,40.68088,-73.88786,Entire home/apt,2,1.0,1 bath,2.0,79.0,352,4.86,4.88,4.84,4.94,4.65,4.8
Ricardo & Ashlie,56,4.0,Manhattan,40.71535,-73.9921,Entire home/apt,4,1.0,1 bath,0.0,200.0,11,4.82,4.82,4.82,4.91,4.91,4.55
Jack & Jo,100,4.0,Manhattan,40.721,-73.98372,Entire home/apt,2,1.0,1 bath,1.0,110.0,130,4.46,4.44,4.45,4.72,4.75,4.45
