host_name,host_acceptance_rate,host_total_listings_count,neighbourhood,neighbourhood_group,latitude,longitude,room_type,max_capacity,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,rating,accuracy,cleanliness,communication,location,value
Annushka,100,8.0,Jamaica,Queens,40.68413,-73.79642,Private room,2,1.0,1 bath,1.0,100.0,75,4.81,4.87,4.93,4.92,4.72,4.88
Danielle,63,4.0,Williamsburg,Brooklyn,40.71392440795898,-73.95526123046875,Private room,1,1.0,1 private bath,1.0,89.0,8,5.0,5.0,5.0,5.0,4.75,4.88
A.B.,85,11.0,Midtown,Manhattan,40.75675,-73.96653,Entire home/apt,2,1.0,1 bath,1.0,499.0,29,4.5,4.45,4.0,4.93,4.86,4.5
Bruce,100,6.0,Bay Ridge,Brooklyn,40.62085,-74.02327,Entire home/apt,2,1.0,1 bath,3.0,200.0,54,4.85,4.89,4.72,4.93,4.74,4.81
Keenen,100,49.0,Williamsburg,Brooklyn,40.70206305248446,-73.93921326403684,Entire home/apt,5,2.0,2 baths,3.0,350.0,4,4.25,3.75,4.75,4.5,4.5,4.5
Jeruschka,100,1.0,Windsor Terrace,Brooklyn,40.64914965918961,-73.97888700817028,Entire home/apt,2,1.0,1 bath,1.0,107.0,332,4.71,4.67,4.83,4.94,4.71,4.62
Muhammad,100,1.0,Flatlands,Brooklyn,40.625,-73.92799,Private room,1,1.0,1 bath,1.0,40.0,36,4.5,4.78,4.22,4.89,4.78,4.75
Vincent,88,5.0,Jackson Heights,Queens,40.75112169060736,-73.8917927052177,Private room,2,1.0,1 shared bath,1.0,85.0,9,5.0,4.89,4.89,5.0,4.89,5.0
Marcos,57,2.0,Astoria,Queens,40.75751,-73.92058,Private room,2,1.0,1 shared bath,1.0,105.0,17,4.82,4.76,4.76,4.94,4.76,4.94
Steven,88,7.0,Inwood,Manhattan,40.86088,-73.92914,Private room,2,1.0,1 shared bath,1.0,95.0,14,5.0,4.93,4.79,5.0,4.64,4.71
Yovel,100,45.0,Midwood,Brooklyn,40.61673,-73.97093,Entire home/apt,1,1.0,1 bath,1.0,77.0,5,5.0,5.0,5.0,5.0,4.8,5.0
Ari,78,2.0,East Village,Manhattan,40.72544,-73.9805,Private room,2,1.0,1 private bath,2.0,463.0,140,4.87,4.88,4.76,4.94,4.79,4.73
Paradise Suites,43,41.0,Upper East Side,Manhattan,40.75884,-73.95945,Entire home/apt,4,2.0,2 baths,2.0,219.0,10,4.3,4.1,4.0,4.5,4.5,4.0
Idelsa,96,1.0,Mott Haven,Bronx,40.81132,-73.92177,Entire home/apt,4,1.0,1 bath,1.0,125.0,110,4.87,4.85,4.85,4.95,4.65,4.81
Gennady + Laura,46,2.0,Manhattan Beach,Brooklyn,40.57871,-73.94002,Entire home/apt,4,1.0,1 bath,1.0,48.0,138,4.75,4.81,4.83,4.91,4.65,4.79
Yuval,94,6.0,Prospect Heights,Brooklyn,40.67296,-73.96288,Private room,2,1.0,1 shared bath,1.0,79.0,314,4.81,4.9,4.69,4.88,4.91,4.82
Bushwick Art Studios,73,4.0,Bushwick,Brooklyn,40.69869,-73.92557,Private room,2,2.0,2 shared baths,1.0,80.0,11,4.64,4.55,4.55,4.91,4.64,4.36
Edgar,100,2.0,Clinton Hill,Brooklyn,40.69602,-73.96182,Private room,2,1.0,1 shared bath,1.0,80.0,390,4.91,4.94,4.88,4.95,4.67,4.87
Julianna,100,15.0,East Harlem,Manhattan,40.79398,-73.9457,Private room,2,1.0,1 shared bath,1.0,72.0,8,4.56,4.67,4.44,4.67,4.22,4.56
Mutale,88,3.0,Fort Greene,Brooklyn,40.69404,-73.974,Entire home/apt,4,1.0,1 bath,2.0,210.0,98,4.63,4.78,4.56,4.86,4.76,4.61
Bugra Han,96,81.0,Midtown,Manhattan,40.75440031526361,-73.98204065088868,Private room,4,1.0,1 private bath,2.0,168.0,29,4.41,4.24,4.72,4.72,5.0,4.34
Jeannine,93,1.0,Flatbush,Brooklyn,40.63408,-73.96243,Entire home/apt,5,1.0,1 bath,2.0,164.0,112,4.89,4.89,4.98,4.98,4.86,4.8
Stanley,95,86.0,Murray Hill,Manhattan,40.74926,-73.97643,Entire home/apt,1,1.0,1 bath,0.0,120.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Oyo,99,6.0,Theater District,Manhattan,40.759125,-73.983765,Private room,4,1.0,1 private bath,1.0,261.0,159,4.18,4.13,4.29,4.65,4.86,4.07
Ali,88,30.0,Flushing,Queens,40.75761,-73.80804,Entire home/apt,8,2.0,2 baths,3.0,178.0,5,5.0,5.0,5.0,5.0,4.75,4.25
Ali,88,30.0,Flushing,Queens,40.75748,-73.8095,Entire home/apt,6,2.0,2 baths,3.0,155.0,44,4.64,4.68,4.75,4.61,4.66,4.5
Elizabeth,82,20.0,Murray Hill,Manhattan,40.74792,-73.98198,Private room,2,1.0,1 private bath,1.0,425.0,15,5.0,5.0,5.0,5.0,5.0,4.87
Veki,100,1.0,Upper East Side,Manhattan,40.76343,-73.96578,Private room,2,1.0,1 shared bath,1.0,128.0,136,4.91,4.93,4.91,4.99,4.96,4.8
Birgitta,71,4.0,Park Slope,Brooklyn,40.67597,-73.97765,Entire home/apt,3,1.0,1 bath,1.0,180.0,175,4.85,4.9,4.76,4.93,4.98,4.78
JT Urban,60,84.0,Upper East Side,Manhattan,40.77026,-73.95854,Entire home/apt,6,1.0,1 bath,3.0,250.0,5,5.0,5.0,4.8,5.0,5.0,4.6
Golsana,70,2.0,Williamsburg,Brooklyn,40.70741,-73.94336,Entire home/apt,2,1.0,1 bath,0.0,260.0,32,4.81,4.88,4.69,4.94,4.78,4.75
Jeniffer,90,77.0,Chinatown,Manhattan,40.71841,-73.99573,Entire home/apt,2,1.0,1 bath,1.0,250.0,3,5.0,5.0,5.0,4.67,5.0,5.0
Guirlaine,93,3.0,Harlem,Manhattan,40.81842012159541,-73.94309208037893,Entire home/apt,2,1.0,1 bath,0.0,85.0,25,4.88,5.0,4.85,4.96,4.85,4.88
Rodrigo,82,1.0,Greenwich Village,Manhattan,40.72839,-73.99954,Entire home/apt,2,1.0,1 bath,0.0,114.0,13,4.54,4.54,4.69,4.77,4.85,4.38
Ishmael,100,6.0,Jamaica,Queens,40.6776319,-73.79027880000001,Entire home/apt,1,1.0,1 bath,2.0,105.0,50,4.58,4.5,4.56,4.96,4.46,4.54
The Collective Paper Factory Hotel,98,7.0,Long Island City,Queens,40.75224,-73.92871,Private room,2,1.0,1 private bath,1.0,238.0,3,4.33,4.0,4.0,4.0,5.0,3.33
Dina,33,2.0,Astoria,Queens,40.7609688,-73.91774339999999,Private room,2,1.5,1.5 shared baths,1.0,85.0,3,5.0,5.0,5.0,5.0,5.0,4.67
Julia,50,1.0,Williamsburg,Brooklyn,40.71164,-73.96108,Entire home/apt,2,1.0,1 bath,1.0,150.0,24,4.48,4.63,4.5,4.58,4.65,4.48
Delia,100,1.0,Harlem,Manhattan,40.80285928465921,-73.9581490595645,Entire home/apt,4,1.5,1.5 baths,2.0,380.0,1,5.0,5.0,4.0,5.0,5.0,5.0
Jeniffer,38,161.0,Hell's Kitchen,Manhattan,40.76411,-73.99371,Entire home/apt,3,1.0,1 bath,0.0,90.0,15,4.6,4.8,4.8,4.6,4.47,4.27
Amine,77,3.0,East Flatbush,Brooklyn,40.63349,-73.94547,Entire home/apt,5,1.0,1 bath,2.0,79.0,31,4.97,4.94,4.97,5.0,4.42,4.81
Massara,86,2.0,East Harlem,Manhattan,40.8015,-73.93711,Entire home/apt,2,1.5,1.5 baths,1.0,150.0,39,4.78,4.85,4.83,4.88,4.43,4.88
Jency,90,4.0,Cypress Hills,Brooklyn,40.687538604936016,-73.87562761694524,Shared room,2,1.0,1 shared bath,0.0,120.0,44,4.98,4.95,4.95,4.95,4.64,4.95
Jeniffer,38,161.0,Hell's Kitchen,Manhattan,40.76385,-73.98963,Entire home/apt,2,1.0,1 bath,1.0,100.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Stellamaris,82,7.0,Williamsbridge,Bronx,40.876955170157416,-73.85623522102833,Private room,2,1.0,1 shared bath,1.0,60.0,13,4.85,4.92,4.85,4.77,4.77,4.69
Criss,98,7.0,Parkchester,Bronx,40.830412,-73.87658809999999,Private room,2,1.0,1 private bath,1.0,74.0,13,4.62,4.62,4.77,5.0,4.69,4.85
Pavindra,94,3.0,Bedford-Stuyvesant,Brooklyn,40.679695853903134,-73.90706773401382,Private room,2,3.0,3 baths,1.0,60.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Brendan,83,4.0,Bushwick,Brooklyn,40.68837,-73.91453,Entire home/apt,12,2.5,2.5 baths,5.0,299.0,19,4.53,4.42,4.32,4.47,4.47,4.47
Carlene,99,21.0,Bedford-Stuyvesant,Brooklyn,40.69283,-73.94529,Private room,1,1.0,1 shared bath,1.0,31.0,98,4.82,4.9,4.97,4.86,4.7,4.8
Nico,100,6.0,Harlem,Manhattan,40.80067,-73.95534,Private room,1,2.0,2 shared baths,1.0,57.0,8,4.88,4.75,4.63,5.0,4.63,4.63
Ana,100,1.0,Inwood,Manhattan,40.86884,-73.92521,Entire home/apt,5,1.0,1 bath,2.0,203.0,3,4.67,4.67,5.0,4.67,5.0,4.67
Qing,100,1.0,Borough Park,Brooklyn,40.613976,-73.981087,Private room,1,1.0,1 private bath,1.0,81.0,25,4.88,4.96,5.0,4.96,4.6,4.68
Edward,98,6.0,Bedford-Stuyvesant,Brooklyn,40.68476,-73.94867,Private room,2,1.0,1 shared bath,1.0,49.0,27,4.75,4.81,4.59,4.7,4.52,4.67
Central Park Apartments,65,49.0,Upper West Side,Manhattan,40.79673,-73.96255,Entire home/apt,2,1.0,1 bath,0.0,89.0,6,4.33,4.33,4.33,4.5,4.17,4.5
Marshawn,97,3.0,East Elmhurst,Queens,40.76298,-73.86181,Private room,2,1.0,1 private bath,1.0,328.0,106,4.91,4.94,4.92,4.92,4.87,4.82
Hendrix JY,100,4.0,East New York,Brooklyn,40.67559,-73.89027,Entire home/apt,4,2.0,2 baths,2.0,139.0,161,4.71,4.75,4.84,4.88,4.4,4.76
René,50,1.0,SoHo,Manhattan,40.72701,-74.00872,Entire home/apt,2,1.0,1 bath,0.0,170.0,79,4.96,4.94,4.94,4.99,4.91,4.84
Joseph & Teresa,100,3.0,East New York,Brooklyn,40.67134,-73.87862,Entire home/apt,4,1.0,1 bath,1.0,89.0,231,4.74,4.84,4.75,4.96,4.66,4.77
Stephanie,100,2.0,Fort Hamilton,Brooklyn,40.6225,-74.031,Entire home/apt,5,1.0,1 bath,2.0,220.0,114,4.88,4.92,4.88,4.9,4.74,4.83
